TOA5,DB_METS,CR1000,73738,CR1000.Std.32.05,CPU:METS_V5.CR1,20519,Daily,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,AirTemp_Max,AirTemp_TMx,AirTemp_Min,AirTemp_TMn,AirTemp_Avg,RH_Max,RH_TMx,RH_Min,RH_TMn,RH_Avg,WS_2m_Avg,WindDir_2m_Avg,WindDir_SD_2m,WS_2m_Max,WS_2m_TMx,WindDir_SMM,WS_3m_Avg,WS_3m_Max,WS_3m_TMx,WindRun_2m_Tot,WindRun_3m_Tot,SrW_Avg,SrW_Max,SrW_TMx,SrMJ_Tot,Vap_Press_Avg,Rain_Tot,Program_Signature
TS,RN,Deg C,,Deg C,,Deg C,%,,%,,%,m/s,Deg,Deg,m/s,,Degrees,m/s,m/s,,km/day,km/day,W/m^2,W/m^2,,MJ/m^2,kPa,inches,arb
,,Max,TMx,Min,TMn,Avg,Max,TMx,Min,TMn,Avg,WVc,WVc,WVc,Max,TMx,SMM,Avg,Max,TMx,Tot,Tot,Avg,Max,TMx,Tot,Avg,Tot,Smp
11/10/2022 0:00,217,10.15,11/9/2022 14:16,-9.19,11/9/2022 4:51,-0.9,76.07,11/9/2022 2:37,9.48,11/9/2022 16:32,34.21,12.5,185.5,35.79,15.7,11/9/2022 15:20,189.7,6.37,17.45,11/9/2022 15:20,487.9,550.3,158.3,608.8106,11/9/2022 11:24,13.68057,0.628,0,40931
11/11/2022 0:00,218,3.74,11/10/2022 0:02,-12.94,11/10/2022 6:09,-5.15,84,11/10/2022 6:14,14.26,11/10/2022 12:46,46.98,4.18,95.3,63.72,11.95,11/10/2022 21:28,47.96,3.232,12.7,11/10/2022 21:32,251.9,279.2,157.1,605.9316,11/10/2022 11:27,13.57021,0.375,0,40931
11/12/2022 0:00,219,7.99,11/11/2022 13:44,-13.51,11/11/2022 23:29,-3.42,81,11/11/2022 22:20,45.2,11/11/2022 14:37,59.19,4.1,104.1,55.98,5.7,11/11/2022 0:47,75.39,1.336,5.95,11/11/2022 0:46,100.7,115.4,127.1,745.1414,11/11/2022 11:00,10.97896,0.308,0,40931
11/13/2022 0:00,220,10.56,11/12/2022 14:05,-12.43,11/12/2022 6:27,-1.71,84.9,11/12/2022 5:58,26.8,11/12/2022 14:25,55.08,9.43,113,76.05,5.7,11/12/2022 14:13,113.9,1.48,6.2,11/12/2022 13:11,113.6,127.9,144.3,606.6614,11/12/2022 12:21,12.46456,0.277,0,40931
11/14/2022 0:00,221,4.64,11/13/2022 14:04,-12.74,11/13/2022 5:07,-2.52,79.5,11/13/2022 6:35,14.72,11/13/2022 14:04,42.97,7.85,7.652,56.15,9.7,11/13/2022 15:27,46.15,2.099,9.95,11/13/2022 15:13,166.9,181.3,109.3,642.7452,11/13/2022 13:29,9.446958,0.244,0,40931
11/15/2022 0:00,222,4.46,11/14/2022 15:37,-10.51,11/14/2022 23:39,-2.35,94.7,11/14/2022 7:16,34.37,11/14/2022 0:01,58.78,11.15,352.6,48.72,6.7,11/14/2022 10:03,8.32,1.941,6.95,11/14/2022 4:54,156.1,167.7,137.9,804.8904,11/14/2022 11:38,11.91128,0.335,0.01,40931
11/16/2022 0:00,223,6.71,11/15/2022 14:08,-12.2,11/15/2022 23:26,-1.97,84.8,11/15/2022 23:46,37.35,11/15/2022 14:13,61.69,12.58,310.1,58.17,5.95,11/15/2022 11:27,39.55,1.325,5.95,11/15/2022 14:51,102.8,114.5,106.5,774.9091,11/15/2022 11:23,9.200283,0.323,0,40931
11/17/2022 0:00,224,-1.01,11/16/2022 12:33,-10.78,11/16/2022 6:15,-5.93,89.8,11/16/2022 1:24,23.77,11/16/2022 14:01,55.81,9.5,260.6,62.66,7.2,11/16/2022 11:59,339.4,1.474,7.95,11/16/2022 11:59,116,127.3,140,693.9022,11/16/2022 12:00,12.09624,0.25,0,40931
11/18/2022 0:00,225,-4.1,11/17/2022 12:08,-17.7,11/17/2022 4:56,-11.62,87.8,11/17/2022 22:59,38.49,11/17/2022 10:25,63.87,4.25,46.19,71.51,10.95,11/17/2022 13:28,32.91,3.099,12.7,11/17/2022 13:29,246.4,267.8,115.9,833.1056,11/17/2022 12:26,10.01329,0.285,0,40931
11/19/2022 0:00,226,3.97,11/18/2022 14:46,-17.7,11/18/2022 23:28,-7.37,91.5,11/18/2022 3:17,70.4,11/18/2022 15:13,84,4.93,92.1,71.1,6.45,11/18/2022 1:18,43.29,2.307,6.7,11/18/2022 1:18,178.9,199.3,74.5,577.2305,11/18/2022 13:21,6.436902,0.278,0,40931
11/20/2022 0:00,227,9.37,11/19/2022 15:02,-15.1,11/19/2022 5:31,-4.26,86.7,11/19/2022 0:26,18.85,11/19/2022 14:02,62.56,3.28,231.1,48.04,4.7,11/19/2022 10:41,244.3,1.541,5.45,11/19/2022 11:56,117.4,133.1,143.7,564.8997,11/19/2022 11:51,12.41477,0.233,0,40931
11/21/2022 0:00,228,11.33,11/20/2022 13:21,-12.63,11/20/2022 6:41,-1.98,87.4,11/20/2022 6:06,13.04,11/20/2022 13:41,51.87,3.58,294,66.36,5.45,11/20/2022 13:01,93.1,1.295,5.95,11/20/2022 13:36,97.8,111.9,145.3,571.011,11/20/2022 11:45,12.55468,0.216,0,40931
11/22/2022 0:00,229,11.98,11/21/2022 14:43,-9.94,11/21/2022 3:48,0.31,81.4,11/21/2022 6:37,11.66,11/21/2022 15:52,45.35,5.82,251.4,58.43,3.95,11/21/2022 13:20,162.4,0.807,4.2,11/21/2022 13:20,66.52,69.69,143.1,567.1204,11/21/2022 11:42,12.36355,0.207,0,40931
11/23/2022 0:00,230,9.88,11/22/2022 14:38,-11.49,11/22/2022 6:31,0.41,74.58,11/22/2022 6:26,12.15,11/22/2022 15:12,42.25,12.12,278.6,58.96,4.45,11/22/2022 11:34,275.8,0.975,4.7,11/22/2022 11:34,76.35,84.2,133.3,613.7891,11/22/2022 11:54,11.51662,0.215,0,40931
11/24/2022 0:00,231,8.77,11/23/2022 13:35,-8.01,11/23/2022 6:51,1.38,72.69,11/23/2022 6:53,8.07,11/23/2022 14:33,38.31,8.45,343.9,48.61,14.7,11/23/2022 18:30,14.69,3.105,14.45,11/23/2022 18:30,253.5,268.3,122.7,667.8363,11/23/2022 12:27,10.59775,0.243,0,40931
11/25/2022 0:00,232,15.83,11/24/2022 14:56,-9.53,11/24/2022 23:03,1.11,80.6,11/24/2022 23:47,45.58,11/24/2022 15:01,60.19,4.18,345.4,29.63,12.2,11/24/2022 7:17,302.2,4.244,12.45,11/24/2022 7:17,336.9,366.7,34.76,214.4298,11/24/2022 14:17,3.003214,0.436,0,40931
11/26/2022 0:00,233,16.2,11/25/2022 15:45,-9.05,11/25/2022 6:43,3.16,88.2,11/25/2022 3:43,15.32,11/25/2022 15:46,53.37,12.28,255.7,53.79,5.45,11/25/2022 10:28,257.5,1.164,5.7,11/25/2022 11:38,89.2,100.6,137.8,550.2499,11/25/2022 11:50,11.90359,0.278,0,40931
11/27/2022 0:00,234,9.14,11/26/2022 14:30,-6.15,11/26/2022 6:35,1.66,78.14,11/26/2022 6:39,14.7,11/26/2022 14:06,43.97,5.53,326.4,50.85,11.7,11/26/2022 14:54,8.63,2.116,11.95,11/26/2022 14:42,164.3,182.9,129.9,538.097,11/26/2022 11:39,11.22175,0.298,0,40931
11/28/2022 0:00,235,13.23,11/27/2022 14:47,-7.1,11/27/2022 23:47,0.33,94.9,11/27/2022 22:30,48.71,11/27/2022 15:32,75.64,11.08,182.5,84.2,7.2,11/27/2022 13:55,162.6,1.833,7.45,11/27/2022 13:55,138.8,158.3,94.9,837.9651,11/27/2022 11:46,8.201353,0.529,0.01,40931
11/29/2022 0:00,236,-5.18,11/28/2022 13:50,-21.36,11/28/2022 5:46,-10.34,94.2,11/28/2022 3:17,8.15,11/28/2022 13:55,48.46,6.5,248.2,64.92,13.2,11/28/2022 14:00,221.2,3.174,14.2,11/28/2022 18:39,243.5,274.2,113.4,623.2998,11/28/2022 13:34,9.794126,0.283,0,40931
11/30/2022 0:00,237,-2.88,11/29/2022 0:02,-21.59,11/29/2022 23:53,-13.7,90.4,11/29/2022 11:06,49.25,11/29/2022 0:00,73.31,3.12,7.423,61.34,8.7,11/29/2022 6:01,47.21,2.557,8.7,11/29/2022 5:53,202.2,221,74.17,607.8151,11/29/2022 13:19,6.408364,0.299,0,40931
12/1/2022 0:00,238,6.6,11/30/2022 14:39,-14.66,11/30/2022 6:10,-5.14,88.5,11/30/2022 2:46,37.9,11/30/2022 14:40,70.1,4.18,283.5,46.94,3.45,11/30/2022 13:25,332.9,0.924,3.95,11/30/2022 21:15,63.21,79.84,126.3,526.7773,11/30/2022 11:35,10.90934,0.258,0,40931
12/2/2022 0:00,239,11.1,12/1/2022 12:41,-7.87,12/1/2022 5:27,1.97,89.7,12/1/2022 6:19,11.78,12/1/2022 12:00,44.4,18.73,240.9,46.25,10.7,12/1/2022 22:23,228.2,3.177,11.7,12/1/2022 12:50,241.1,274.5,126.2,588.774,12/1/2022 12:26,10.90223,0.333,0,40931
12/3/2022 0:00,240,3.57,12/2/2022 13:35,-12.67,12/2/2022 23:45,-4.78,58.78,12/2/2022 23:51,17.19,12/2/2022 1:18,26.98,3.95,239.5,71.75,21.45,12/2/2022 9:38,282.1,7.3,23.7,12/2/2022 9:38,574.3,630.8,123.4,555.9951,12/2/2022 12:09,10.66437,0.333,0,40931
12/4/2022 0:00,241,14.75,12/3/2022 14:46,-7.91,12/3/2022 6:07,0.48,76.33,12/3/2022 7:14,27.02,12/3/2022 13:48,49.82,8.08,292.9,46.48,3.7,12/3/2022 11:38,332.8,0.752,3.95,12/3/2022 11:38,60.64,64.94,96.2,727.3802,12/3/2022 10:53,8.310593,0.234,0,40931
12/5/2022 0:00,242,13.77,12/4/2022 14:16,-5.44,12/4/2022 7:26,1.8,61.56,12/4/2022 7:18,22.14,12/4/2022 14:17,42.99,8.15,3.64,81.4,5.7,12/4/2022 13:08,115.5,1.31,6.2,12/4/2022 13:08,99.2,113.2,75.2,364.1281,12/4/2022 10:40,6.497051,0.295,0,40931
12/6/2022 0:00,0,11.47,12/5/2022 13:48,-6.05,12/5/2022 23:32,1.62,60.54,12/5/2022 23:34,20.61,12/5/2022 13:47,37.77,7.7,80.8,56.83,10.2,12/5/2022 17:44,68.29,2.228,10.95,12/5/2022 17:27,86.7,101.2,78.64,395.5256,12/5/2022 11:23,3.572025,0.423,0,40931
12/7/2022 0:00,1,9.98,12/6/2022 14:31,-8.38,12/6/2022 6:59,-0.73,80.6,12/6/2022 5:19,30.21,12/6/2022 14:42,56.24,4.62,271.5,88,5.7,12/6/2022 15:10,101.3,1.497,5.7,12/6/2022 15:10,107.1,129.3,119.7,500.7739,12/6/2022 11:47,10.34507,0.337,0,40931
12/8/2022 0:00,2,10.05,12/7/2022 14:27,-8.68,12/7/2022 7:05,-0.8,87.8,12/7/2022 23:53,28.59,12/7/2022 14:06,58.49,10.55,64.09,67.72,7.45,12/7/2022 19:13,92.4,1.908,7.95,12/7/2022 19:27,138.6,164.9,117.1,518.2254,12/7/2022 11:08,10.11864,0.37,0,40931
12/9/2022 0:00,3,6.3,12/8/2022 12:47,-13.82,12/8/2022 3:33,-3.31,98.9,12/8/2022 9:16,9.8,12/8/2022 14:36,53.78,6.95,279.5,37.94,13.95,12/8/2022 12:39,280.5,2.895,15.2,12/8/2022 12:39,221,250.2,123.2,518.6837,12/8/2022 11:54,10.6457,0.283,0,40931
12/10/2022 0:00,4,7.21,12/9/2022 13:29,-10.24,12/9/2022 5:51,-2.66,79.42,12/9/2022 6:42,20.42,12/9/2022 14:30,47.38,3.95,292.7,50.37,4.7,12/9/2022 13:57,315.7,1.121,4.95,12/9/2022 13:57,83.1,96.9,114.1,785.0084,12/9/2022 11:50,9.860944,0.213,0,40931
12/11/2022 0:00,5,13.16,12/10/2022 14:31,-9.5,12/10/2022 6:19,-0.77,69.76,12/10/2022 6:22,19.45,12/10/2022 14:31,43.2,5.6,159.8,77.07,9.2,12/10/2022 14:01,109.1,1.84,9.95,12/10/2022 14:01,142.8,158.9,123.5,506.0357,12/10/2022 11:46,10.66706,0.214,0,40931
12/12/2022 0:00,6,6.48,12/11/2022 14:48,-5.92,12/11/2022 4:42,-0.86,73.79,12/11/2022 5:09,5.122,12/11/2022 14:32,37.11,11.68,216.3,72.36,7.45,12/11/2022 21:34,193,1.428,7.95,12/11/2022 21:34,107.9,123.3,122.1,586.8799,12/11/2022 11:26,10.55264,0.197,0,40931
12/13/2022 0:00,7,-2.3,12/12/2022 15:11,-7,12/12/2022 6:02,-4.24,86.3,12/12/2022 23:59,14.18,12/12/2022 15:12,34.88,16.4,222,75.64,11.7,12/12/2022 15:20,206.7,2.151,12.2,12/12/2022 15:20,163.3,185.8,56.46,350.6063,12/12/2022 13:34,4.878063,0.261,0,40931
12/14/2022 0:00,8,2.87,12/13/2022 0:00,-7.37,12/13/2022 23:57,-2.02,99.2,12/13/2022 4:15,57.39,12/13/2022 12:27,80.7,15.35,317.9,59.86,10.7,12/13/2022 2:55,342.7,3.338,11.2,12/13/2022 3:19,264,288.4,97.4,652.283,12/13/2022 10:18,8.419496,0.373,0.05,40931
12/15/2022 0:00,9,0.94,12/14/2022 14:12,-8.75,12/14/2022 6:09,-3.56,92.8,12/14/2022 20:25,47.58,12/14/2022 14:12,81.3,15.35,307.5,38.9,3.45,12/14/2022 12:19,38.37,0.783,3.7,12/14/2022 12:19,49.04,67.65,127.2,686.3539,12/14/2022 11:55,10.98596,0.21,0,40931
12/16/2022 0:00,10,1.18,12/15/2022 11:50,-14.19,12/15/2022 6:26,-5.18,96.2,12/15/2022 23:25,47.58,12/15/2022 11:52,79.77,15.05,278.6,55.45,3.2,12/15/2022 18:57,342.8,0.836,3.7,12/15/2022 21:04,47.77,72.26,96.8,727.5199,12/15/2022 11:45,8.366407,0.234,0,40931
12/17/2022 0:00,11,2.49,12/16/2022 14:44,-15.61,12/16/2022 7:38,-7.83,97,12/16/2022 2:22,29.59,12/16/2022 15:16,73.25,7.03,289.3,42.35,5.45,12/16/2022 11:10,296.6,1.355,5.7,12/16/2022 11:10,93.7,117.1,121.9,517.0995,12/16/2022 11:52,10.53473,0.196,0,40931
12/18/2022 0:00,12,2.8,12/17/2022 12:13,-16.92,12/17/2022 6:22,-9.06,88.5,12/17/2022 21:43,40.96,12/17/2022 12:15,71.06,3.5,312.5,50.82,3.95,12/17/2022 14:55,58.99,0.8,4.2,12/17/2022 15:06,52.28,69.1,124.7,518.6998,12/17/2022 10:41,10.77267,0.137,0,40931
12/19/2022 0:00,13,9.75,12/18/2022 15:46,-17.23,12/18/2022 0:36,-5.89,88.9,12/18/2022 23:59,47.7,12/18/2022 15:43,73.03,10.33,304.5,52.77,3.45,12/18/2022 11:23,329.2,1.306,3.7,12/18/2022 11:23,94.3,112.8,95.7,776.2457,12/18/2022 12:22,8.268868,0.178,0,40931
12/20/2022 0:00,14,4.08,12/19/2022 13:12,-12.16,12/19/2022 6:10,-5.19,92.6,12/19/2022 22:37,39.66,12/19/2022 11:49,76.55,5.53,281.1,57.23,5.2,12/19/2022 9:48,311.7,1.113,5.2,12/19/2022 9:48,77.25,96.2,124.6,516.6931,12/19/2022 11:48,10.76258,0.22,0,40931
12/21/2022 0:00,15,11.94,12/20/2022 12:31,-21.9,12/20/2022 7:06,-9.74,92.3,12/20/2022 0:15,50.91,12/20/2022 11:10,78.96,16.4,330.6,61.07,5.2,12/20/2022 20:24,51.86,1.146,4.95,12/20/2022 20:24,77.78,99,109.6,544.8889,12/20/2022 12:57,9.470602,0.242,0,40931
12/22/2022 0:00,16,-16.46,12/21/2022 14:44,-30.52,12/21/2022 23:56,-24.94,93.6,12/21/2022 3:41,21.77,12/21/2022 15:11,64.87,9.12,327.2,69.47,16.2,12/21/2022 20:00,10.58,2.733,15.95,12/21/2022 19:54,215.5,236.1,122.4,514.4617,12/21/2022 11:56,10.57745,0.252,0,40931
12/23/2022 0:00,17,-13.91,12/22/2022 14:41,-30.52,12/22/2022 20:46,-21.27,80.2,12/22/2022 6:15,37.96,12/22/2022 14:58,63.43,2.9,7.222,42.51,8.7,12/22/2022 4:41,12.55,2.945,8.45,12/22/2022 6:43,246.3,254.4,112.8,509.4294,12/22/2022 11:54,9.744075,0.075,0,40931
12/24/2022 0:00,18,-0.46,12/23/2022 13:00,-18.84,12/23/2022 0:30,-10.59,77.31,12/23/2022 23:51,29.71,12/23/2022 11:44,61.34,4.4,324.3,69.47,3.2,12/23/2022 14:40,33.71,0.71,3.2,12/23/2022 14:40,51.58,61.34,111,612.3748,12/23/2022 12:04,9.59181,0.09,0.01,40931
12/25/2022 0:00,19,7.48,12/24/2022 14:45,-15.32,12/24/2022 0:00,-4.29,92.5,12/24/2022 23:28,40.6,12/24/2022 11:33,70.31,10.93,284.9,57.17,4.2,12/24/2022 9:33,273.2,1.03,4.45,12/24/2022 9:41,74.37,89,120.2,725.6038,12/24/2022 11:50,10.3874,0.211,0,40931
12/26/2022 0:00,20,5.24,12/25/2022 13:20,-7.59,12/25/2022 6:04,-0.37,94.3,12/25/2022 0:15,47.5,12/25/2022 13:21,80.2,8.45,299.4,57.87,3.95,12/25/2022 23:04,299,1.138,4.2,12/25/2022 4:57,78.75,98.3,87.4,554.6135,12/25/2022 12:04,7.551995,0.351,0,40931
12/27/2022 0:00,21,6.03,12/26/2022 12:03,-9.92,12/26/2022 1:21,-1.36,97.1,12/26/2022 2:48,50.51,12/26/2022 12:25,80.8,5.97,257.7,70.12,5.7,12/26/2022 13:46,127.2,1.23,5.95,12/26/2022 13:46,81.9,106.3,106.8,522.8244,12/26/2022 11:45,9.223817,0.447,0,40931
12/28/2022 0:00,22,6.15,12/27/2022 13:30,-2.15,12/27/2022 7:12,1.58,97.1,12/27/2022 4:45,26.33,12/27/2022 14:20,62.15,8.6,267.8,45.31,10.2,12/27/2022 22:49,281.8,2.167,11.7,12/27/2022 22:55,156.6,187.2,108.4,563.0397,12/27/2022 12:21,9.366046,0.47,0,40931
12/29/2022 0:00,23,6.3,12/28/2022 0:00,-15.36,12/28/2022 6:59,-3.91,91.1,12/28/2022 7:02,38.14,12/28/2022 0:00,67.22,8.37,113.5,67.27,11.95,12/28/2022 19:55,140.1,2.296,11.95,12/28/2022 19:55,165.9,198.4,28.6,189.7736,12/28/2022 13:21,2.471124,0.638,0,40931
12/30/2022 0:00,24,-3.51,12/29/2022 13:30,-17.42,12/29/2022 23:40,-10.74,98.9,12/29/2022 4:16,49.05,12/29/2022 16:08,79.75,4.03,235.5,84.2,9.7,12/29/2022 2:19,0.072,2.658,9.95,12/29/2022 0:46,205,229.7,119.4,511.2012,12/29/2022 11:57,10.31542,0.521,0.04,40931
12/31/2022 0:00,25,5.91,12/30/2022 14:51,-10.59,12/30/2022 5:25,-3.06,93.5,12/30/2022 1:31,42.6,12/30/2022 13:54,77.68,4.85,316.6,76.37,4.7,12/30/2022 13:46,108.1,1.417,4.95,12/30/2022 13:46,100.2,122.4,110.8,500.306,12/30/2022 11:48,9.574558,0.42,0,40931
1/1/2023 0:00,26,2.48,12/31/2022 14:31,-5.19,12/31/2022 5:35,-1.26,96.3,12/31/2022 4:32,25.9,12/31/2022 14:36,68.54,3.65,242.7,53.23,11.2,12/31/2022 13:58,262.8,1.991,12.2,12/31/2022 13:59,140.2,172.1,111.8,546.7903,12/31/2022 11:02,9.658306,0.529,0,40931
1/2/2023 0:00,27,-1.51,1/1/2023 14:18,-3.57,1/1/2023 7:42,-2.83,94,1/1/2023 6:41,63.4,1/1/2023 13:02,81.1,5.22,8.57,63.32,6.45,1/1/2023 20:35,31.14,1.89,6.7,1/1/2023 20:31,135.3,163.3,56.39,319.5555,1/1/2023 10:47,4.872131,0.549,0,40931
1/3/2023 0:00,28,2.98,1/2/2023 12:30,-12.15,1/2/2023 21:15,-6.2,99.4,1/2/2023 13:14,89.2,1/2/2023 23:59,98.6,3.95,354,26.65,5.45,1/2/2023 0:04,49.59,0.715,5.7,1/2/2023 0:04,48.46,61.82,17.86,108.0044,1/2/2023 9:47,1.54322,0.618,0.04,40931
1/4/2023 0:00,29,1.19,1/3/2023 9:58,-17.59,1/3/2023 22:54,-11.22,99.2,1/3/2023 23:06,62.91,1/3/2023 10:09,84.3,4.25,95,50.5,5.7,1/3/2023 12:58,88,0.903,6.2,1/3/2023 13:16,86.7,77.98,101.6,711.8571,1/3/2023 12:21,8.778472,0.439,0.07,40931
1/5/2023 0:00,30,-4.62,1/4/2023 13:32,-20.22,1/4/2023 4:18,-12.37,99.2,1/4/2023 0:46,41.09,1/4/2023 14:05,81.3,4.4,94.8,54.71,6.2,1/4/2023 14:50,91.7,1.009,6.7,1/4/2023 14:59,89,87.2,125.7,517.9203,1/4/2023 11:56,10.86251,0.377,0,40931
1/6/2023 0:00,31,4.98,1/5/2023 15:32,-12.05,1/5/2023 5:35,-3.68,99.2,1/5/2023 5:17,50.82,1/5/2023 12:36,81.7,4.03,311.7,68.38,4.95,1/5/2023 15:43,79.41,1.23,5.2,1/5/2023 15:43,82.7,106.3,97.5,608.0998,1/5/2023 10:30,8.427657,0.369,0,40931
1/7/2023 0:00,32,3.95,1/6/2023 13:18,-11.71,1/6/2023 6:41,-2.91,95.3,1/6/2023 5:22,19.88,1/6/2023 13:31,67.88,3.65,282.2,52.21,10.45,1/6/2023 11:25,258.6,2.242,11.45,1/6/2023 10:34,164.5,193.7,123.8,521.3167,1/6/2023 11:50,10.69842,0.391,0,40931
1/8/2023 0:00,33,1.36,1/7/2023 13:59,-14.21,1/7/2023 6:50,-7.25,99.2,1/7/2023 23:59,49.29,1/7/2023 14:25,81.5,7.93,313.2,73.92,4.7,1/7/2023 13:50,55.42,1.04,4.7,1/7/2023 13:50,61.05,89.9,126.3,514.519,1/7/2023 12:09,10.91494,0.444,0,40931
1/9/2023 0:00,34,3.48,1/8/2023 15:17,-9.95,1/8/2023 6:24,-2.63,99.2,1/8/2023 0:25,34.9,1/8/2023 14:52,77.87,5,262.7,74.79,5.45,1/8/2023 20:03,0.048,1.076,5.45,1/8/2023 20:03,66.2,93,108,575.3896,1/8/2023 12:16,9.330663,0.399,0,40931
1/10/2023 0:00,35,10.03,1/9/2023 13:41,-9.48,1/9/2023 7:14,-1.55,94,1/9/2023 1:03,12.88,1/9/2023 13:34,44.94,5.9,218.9,51.87,8.7,1/9/2023 14:49,195.8,2.28,8.7,1/9/2023 14:49,163.6,197,120.2,539.6575,1/9/2023 13:04,10.38381,0.337,0,40931
