TIMESTAMP,RECORD,program_signature,CR1000X_batt_volt_Min,VOLT116_batt_volt_Min,CR1000X_Panel_T_Avg,VOLT116_Panel_T_1_Avg,VOLT116_Panel_T_2_Avg,VOLT116_Panel_T_3_Avg,VOLT116_Panel_T_4_Avg,SM50_1_Avg,SM50_1_Std,SM50_2_Avg,SM50_2_Std,Tair_Avg,RH_Avg,PVWspeed_Avg,PVWdir_Avg,PVWdir_STD,Precip_Tot,Albd_Inc_Avg,Albd_Ref_Avg,Rpar_Avg,Lbar_1_Avg,Lbar_2_Avg,Q7_Rn_Avg,HF_1_Avg,HF_2_Avg,HF_3_Avg,HF_4_Avg,IRTob_tgt_Avg,IRTob_bdy_Avg,IRTnd_tgt_Avg,IRTnd_bdy_Avg,SST_20_1_Avg,SST_80_1_Avg,SST_20_2_Avg,SST_80_2_Avg,SST_20_3_Avg,SST_80_3_Avg,SST_20_4_Avg,SST_80_4_Avg,DST_e_05_Avg,DST_e_1_Avg,DST_e_2_Avg,DST_w_05_Avg,DST_w_1_Avg,DST_w_2_Avg,DST_ex_05a_Avg,DST_ex_1a_Avg,DST_ex_2a_Avg,DST_ex_05b_Avg,DST_ex_1b_Avg,DST_ex_2b_Avg,SM250_Drain_Avg,Canopy_Temp_Avg,WM_30_Avg,WM_70_Avg,WM_130_Avg,WM_190_Avg,WSWspeed_Avg,CPI_NAN_n_Tot,Albd_Inc_Avg_calibrated,Albd_Ref_Avg_calibrated,Rpar_Avg_calibrated,Lbar_1_Avg_calibrated,Lbar_2_Avg_calibrated,Q7_Rn_Avg_calibrated,HF_1_Avg_calibrated,HF_2_Avg_calibrated,HF_3_Avg_calibrated,HF_4_Avg_calibrated,SM50_1_Avg_deltaMVV,SM50_1_Avg_NSE,SM50_1_Avg_NSE_Type,SM50_2_Avg_deltaMVV,SM50_2_Avg_NSE,SM50_2_Avg_NSE_Type,SM50_1_Avg_deltaMM,SM50_1_Avg_ETa,SM50_2_Avg_deltaMM,SM50_2_Avg_ETa,SM50_1_Avg_Cumulative_ETa,SM50_2_Avg_Cumulative_ETa
2022-03-04,528,456753,464.29512,464.57506,358.6583,389.80191,381.90793,379.04958,378.33469,54.565031,0.0284370366,53.705788,0.0281157363,506.67278699999997,993.96513,106.9520184,7599.0704,194.3675586,0,0.0,1723.06958,1.28075727015,4.6458550299,4.2296193242,-48.6419351,11.093030528,8.473675786,15.276364126999999,10.349386224,493.066425,518.276018,478.457854,516.29702,514.343008,446.44882,505.262638,415.53276,516.205916,461.70919,528.966871,495.215664,287.091316,278.030625,310.922677,285.780983,280.995574,317.239187,0.0,0.0,0.0,0.0,0.0,0.0,12.226690099999999,487.273799,0.0,0.057980526,0.0,0.0,109.849243,0,0.0,337856.7780271594,302.4252142005195,1557.0583132709849,1613.515179795816,-541.9617123727733,517.4898741311999,443.08850684994,578.36314584822,490.45741315536003,0.00020100000000011775,0,,0.00022199999999994446,0,,-0.014990033111870235,-0.014990033111870235,-0.0165561559742906,-0.0165561559742906,-0.014990033111870235,-0.0165561559742906
2022-03-05,7728,1328736,1350.6533,1351.45227,1053.01674,1144.26514,1121.18453,1112.97978,1110.81262,158.704358,0.0988889481,156.210481,0.0987459087,582.9045298,4885.59214,395.2484737,11577.431891,802.276209,0,0.0,0.0,18.51632243811,92.9845606612,86.6832373293,782.62774754,9.85821316,0.79597242,7.245789446,9.664569005,849.21190796,763.12616486,918.43569787,736.21441157,1140.167216,1029.65618,1119.762952,1018.419124,1098.474848,1065.86803,1201.007761,1097.43136,882.43541,836.758624,918.552328,879.812449,845.678181,936.284668,0.0,0.0,0.0,0.0,0.0,0.0,35.5647842,677.86245622,0.0,0.169045519,0.0,0.0,393.2608117,0,0.0,0.0,4372.259217310914,31163.775505601177,33067.92137638137,8874.473847897698,459.885643914,41.62139784180001,274.32558842556,458.00392514695,-0.0023560000000000247,0,,-0.0023519999999999097,0,,0.17570406970918387,0.17570406970918387,0.17540576059252133,0.17540576059252133,0.16071403659731365,0.15884960461823072
2022-03-06,16944,1328736,1350.6562,1351.44902,1058.29881,1150.0419,1126.77155,1118.75913,1116.46623,160.751279,0.0511565319,158.244162,0.0509932912,-445.9687,8072.30883,240.2104114,10909.093423,436.2470667,0,0.0,0.0,37.62509280073,27.5227386271,26.4019072664,41.30789624,-30.2418398,-30.6274334,-33.1490738,-25.1736111,-330.2383082,-333.378856,-329.476965,-337.427343,111.6570496,558.052115,297.612154,652.759866,335.057316,574.293697,198.38616395,421.842096,920.762329,896.176405,990.0936820000001,912.368528,901.962274,978.7798,0.0,0.0,0.0,0.0,0.0,0.0,35.5636408,-419.086205,0.0,0.1691581,0.0,0.0,236.7858281,0,0.0,0.0,8884.413163036375,9224.245850872565,10071.799583986272,492.2454806378635,-1410.7818266699999,-1601.508492486,-1255.023934068,-1192.977430029,0.05055399999999999,1,auto-detected,0.05040699999999987,1,auto-detected,-3.7701797708310636,0.6714192443088975,-3.7592169107940214,0.6703378737610248,0.8321332809062112,0.8291874783792555
2022-03-07,26160,1328736,1350.65941,1351.44774,1058.1478299999999,1150.03786,1126.65423,1118.72361,1116.37453,162.805287,0.0286171977,160.292244,0.0283584007,-578.7065692,7519.18999,108.801881876,16305.160052,410.268465917,0,3756.8338,0.0,56.0280406019,109.2094955177,90.7971792317,688.97922805,-15.00230076,-18.51638476,-20.025114997,-11.87639551,-343.9040337,-335.8481011,-333.0021973,-392.8443465,226.4872945,494.697811,357.08844118,544.634467,369.02647036,505.46044,309.90960606,445.4836854,841.238822,898.8400350000001,969.864719,828.677622,905.344473,975.5652,0.0,0.0,0.0,0.0,0.0,0.0,35.5606063,-566.5217409,0.0,0.169034615,0.0,0.0,109.9699955,0,742457.2408016099,0.0,13229.901227326647,36601.56242275715,34637.30793330892,7667.597920147975,-699.8573304539999,-968.2217591004,-758.1508537864199,-562.8223832189,-0.015649999999999942,0,,-0.015625,0,,1.1671344189086112,1.1671344189086112,1.1652699869295284,1.1652699869295284,1.9992676998148224,1.994457465308784
2022-03-08,35376,1328736,1350.48684,1351.35563,1061.2267,1152.78406,1129.48859,1121.50436,1119.23037,161.456588,0.0456886661,158.949071,0.0453539628,-186.4773100614,6461.48944,145.7156453,18404.055672,519.999279044,0,0.0,554.0222,17.6318799079,108.6171732023,102.21737768759999,914.178462,-9.20058588,-15.4288493,-16.028039803,-5.8271111,68.7378481,-2.806392100000002,109.71142984,-49.28903266,300.84462836,496.804735,354.96595818000003,509.325144,368.23715337,500.692252,404.57094191,481.45283905,771.642028,882.506305,964.341719,763.519572,890.826017,974.79123,0.0,0.0,0.0,0.0,0.0,0.0,35.5626027,-165.7688623,0.0,0.169224181,0.0,0.0,148.5099945,0,0.0,108631.803161146,4163.415802652427,36403.04559875084,38993.88524026565,10383.388576246183,-429.207331302,-806.774529897,-606.82158694158,-276.146795029,-0.010606000000000115,0,,-0.010775999999999897,0,,0.7909666228079816,0.7909666228079816,0.8036447602657586,0.8036447602657586,2.790234322622804,2.7981022255745427
2022-03-09,44592,1328736,1350.59235,1351.41212,1056.96111,1148.26573,1125.0179,1116.98814,1114.80209,160.802267,0.0897494138,158.293282,0.0892699331,-565.3354621,8075.86337,334.34929652,7722.775227,505.13105226,0,0.0,0.0,11.42456354043,71.3544444784,68.8610715258,621.56342746,-29.3179702,-28.416538441,-36.52427367,-22.88118771,-377.71415184,-451.61294133,-327.2295205,-467.1835326,-85.3773566,279.8682104,6.703875629999993,354.072283,32.28330826,289.1153613,-5.978619250000001,163.89203855,741.09046,869.758843,972.01534,736.245551,879.477461,981.12818,0.0,0.0,0.0,0.0,0.0,0.0,35.5664966,-506.19299999,0.0,0.169362276,0.0,0.0,328.4133078,0,0.0,0.0,2697.6821888017357,23914.442066935757,26269.121565662186,7254.5599317462365,-1367.6833098299999,-1485.90079507989,-1382.8090011462,-1084.3394855769,0.0024560000000000137,0,,0.002545999999999937,0,,-0.18316179762553203,-0.18316179762553203,-0.1898737527502404,-0.1898737527502404,2.607072524997272,2.6082284728243024
2022-03-10,53808,1328736,1350.61043,1351.42304,1047.38968,1138.41266,1115.09258,1107.07623,1104.88733,162.918876,0.0398252921,160.393784,0.0396802923,-972.57836,8260.74309,193.55288188,9863.197871,446.73358184,0,5698.2559,0.0,67.729812573185,51.1124784001,42.1878399754,230.17449392,-23.12396452,-22.3556638,-29.1670115,-19.407415,-746.720894,-757.867675,-745.85593,-781.682406,-88.6286812997,210.647459,9.30749789,280.264521,49.122358919,222.69132199999999,-21.89093054,115.50235525000001,697.955154,869.642613,1003.47005,689.204282,878.506085,995.90305,0.0,0.0,0.0,0.0,0.0,0.0,35.5677326,-906.149112,0.0,0.169331161,0.0,0.0,182.4192232,3,1126137.481220355,0.0,15993.040642906173,17130.347135793512,16093.817193815594,2568.775604630865,-1078.7329448579999,-1168.977660102,-1104.26305539,-919.71739685,0.024058000000000135,0,,0.023997000000000046,0,,-1.794180182115248,-1.794180182115248,-1.7896309680862685,-1.7896309680862685,0.8128923428820238,0.8185975047380338
2022-03-11,63024,1328736,1350.66493,1351.49119,1041.21532,1131.96045,1108.60932,1100.56917,1098.39287,162.70253,0.042653332599999996,160.183851,0.0422800766,-583.3764194,6698.93141,126.45603877,23124.660432,425.73464346000003,0,3913.2763,0.0,36.6145831771,127.73473310243,100.93638216309999,923.4404139,-5.91363686,-10.26923032,-11.15540133,-4.399461778,-277.258553,-342.8024445,-232.99885966,-397.9157875,165.34956411,321.455052,217.958999966,341.9219248,245.65238594,345.31962931,245.9471751,300.11487484,638.683767,835.119308,975.79339,630.798058,846.481759,979.87724,0.0,0.0,0.0,0.0,0.0,0.0,35.5634901,-532.85995931,0.0,0.168752839,0.0,0.0,130.3333311,0,773374.7295907349,0.0,8645.801525608624,42810.29579927941,38505.21106757939,10297.71326373102,-275.871159519,-536.9780534327999,-422.3434943538,-208.49049365942003,-0.016952000000000078,0,,-0.016803000000000123,0,,1.2642340363794853,1.2642340363794853,1.2531220217841286,1.2531220217841286,2.077126379261509,2.0717195265221626
2022-03-12,72240,1328736,1350.58832,1351.42091,1040.05381,1130.46593,1107.20827,1099.07738,1096.96597,161.384636,0.0474726843,158.875166,0.0473776971,334.635694108,5308.76533,181.68514026100002,23095.67383,554.37679393,0,0.0,2915.81984,19.971246028190002,122.7411685088,112.5674192512,1054.1796118,12.236714902,2.8595022324,6.513443532,11.537005594,539.4890582,486.7754604,596.62645061,446.7615322,605.8924617,512.75215955,566.05752043,492.9732066,568.05698136,554.598057884,641.6068676,577.4444587,619.606704,808.209695,963.5457719999999,615.079808,821.937221,969.216942,0.0,0.0,0.0,0.0,0.0,0.0,35.562591,356.286394,0.0,0.169026922,0.0,0.0,189.1416598,0,0.0,571729.3763900512,4715.810324636504,41136.70262572432,42942.21909594778,11958.290849807756,570.8427501783,149.52337173219598,246.59897212152,546.73869509966,-0.010269000000000084,0,,-0.010319999999999885,0,,0.7658340797298832,0.7658340797298832,0.7696375209672064,0.7696375209672064,2.842960458991392,2.8413570474893692
2022-03-13,81456,1328736,1350.58509,1351.41114,1045.9288099999999,1136.1607,1113.05428,1104.8214,1102.7795,160.508622,0.0853292095,158.004823,0.0843977706,912.28435462,4249.57737,264.10551037,22598.37512,777.3304288,0,0.0,4195.07129,20.3099498896,123.58184245963,112.1116666626,1023.4139728,31.58900406,20.928487177,29.60215735,26.19258206,1164.9300345,1102.1814217,1233.83827076,1048.6954055,1224.89799509,870.031807,1091.16516768,827.59467,1073.77067107,939.773364,1192.2315345,1005.59660206,664.558358,796.5793649999999,955.279856,661.938969,811.499185,962.9173490000001,0.0,0.0,0.0,0.0,0.0,0.0,35.5645938,955.2923727,0.0,0.168895763,0.0,0.0,277.0808142,0,0.0,822562.9922812746,4795.788467431248,41418.45450034499,42768.35859844865,11422.033623139167,1473.627039399,1094.35059448533,1120.737677271,1241.2664638234,-0.008103999999999889,0,,-0.008045999999999998,0,,0.6043742703409132,0.6043742703409132,0.600048788149439,0.600048788149439,3.4473347293323053,3.4414058356388084
